description,category,subCategory
Josefin Larsso,Miscellaneous,Swish
Prel SAMNIK A,Food & Drink,Groceries
Prel ICA Nara,Food & Drink,Groceries
Wh G¦teborg Bj,Food & Drink,Groceries
SAMNIK AB,Food & Drink,Groceries
OPENAI *CHATGP,Entertainment & Shopping,Toys & Games
COOP MUNKEB#CK,Food & Drink,Groceries
APOTEKSGRUPPEN,Household,Healthcare & Wellness
GOOGLE *Google,Household,"Media, Mobile, and IT"
K*liseberg.s,Entertainment & Shopping,Culture & Entertainment
Netflix.com,Household,"Media, Mobile, and IT"
"WILLIAMS, HARR",Housing,Building & Garden
hallon,Household,"Media, Mobile, and IT"
MONUMENT 031,Housing,Building & Garden
Vega Mat & Dry,Food & Drink,Restaurant & Bar
ROLLIN BISTROS,Housing,Building & Garden
Västtrafik To,Transport,Bus & Train
